Ad,Miktar,Bileşen
"U1",1," Arduino Uno R3"
"S1",1," Basma düğmesi"
"PIEZO1",1," Piezo"
"R5",1,"100 Ω Rezistör"
"R6",1,"10 kΩ Rezistör"
